name,uniscoreavg
Medical University of South Carolina,46.75
Medical University of Vienna,44.142857142857146
Medical University of Warsaw,26.175
Meiji University,15.87142857142857
Meijo University,15.258333333333333
Memorial University of Newfoundland,30.5875
Mendel University in Brno,17.9625
Mendeleev University of Chemical Technology,14.350000000000001
Menoufia University,21.0
Metropolitan Autonomous University,26.141666666666666
Miami University,16.883333333333336
Michigan State University,59.62307692307692
Middle East Technical University,31.805
Middlesex University,34.375
Mie University,18.07
Miguel Hernández University of Elche,30.26
Mines ParisTech,44.875
Ming Chi University of Technology,18.9
Ming Chuan University,14.992857142857144
Minia University,21.95
Mississippi State University,27.525000000000002
Missouri University of Science and Technology,32.48125
Mizzou - University of Missouri,33.542857142857144
Mohammed V University of Rabat,18.02857142857143
Monash University,61.48461538461538
Montana State University,28.7375
Monterrey Institute of Technology,27.2
Montpellier University,39.0875
Morgan State University,23.149999999999995
Moscow Aviation Institute,17.240000000000002
Moscow Institute of Physics and Technology (MIPT),43.225
Moscow Polytechnic University,15.4
Moscow Power Engineering Institute,15.84
Moscow State University of Civil Engineering,28.150000000000002
Muhimbili University of Health and Allied Sciences,43.5
Multimedia University,17.9625
Murdoch University,34.175
Muroran Institute of Technology,17.6
Mustansiriyah University,15.4
M’Hamed Bougara University of Boumerdès,16.2125
NOVA University of Lisbon,31.68125
Nagaoka University of Technology,16.87142857142857
Nagasaki University,18.01875
Nagoya City University,20.485714285714288
Nagoya Institute of Technology,17.25
Nagoya University,39.25
Nanjing Agricultural University,28.974999999999998
Nanjing Forestry University,31.85
Nanjing Medical University,29.400000000000002
Nanjing Normal University,28.50714285714286
Nanjing Tech University,27.0
Nanjing University,51.06111111111111
Nanjing University of Aeronautics and Astronautics,21.4625
Nanjing University of Information Science and Technology,32.33
Nankai University,45.129999999999995
Nantes Université,29.2625
"Nanyang Technological University, Singapore",65.33076923076922
Nara Medical University,16.669999999999998
Naresuan University,15.84
National Autonomous University of Mexico,25.21875
National Central University,22.01875
National Changhua University of Education,15.84
National Cheng Kung University (NCKU),30.55625
National Chengchi University,20.1
National Chi Nan University,16.150000000000002
National Chiao Tung University,33.01428571428571
National Chiayi University,15.258333333333333
National Chin-Yi University of Technology,17.9625
National Chung Cheng University,15.96875
National Chung Hsing University,16.764285714285712
National Dong Hwa University,23.308333333333334
National Formosa University,14.350000000000001
National Ilan University,16.150000000000002
National Institute of Applied Sciences of Lyon (INSA Lyon),27.2
National Institute of Technology Hamirpur,31.85
National Institute of Technology Rourkela,26.885714285714283
National Institute of Technology Silchar,31.25
"National Institute of Technology, Tiruchirappalli",24.380000000000003
National Kaohsiung University of Science and Technology,14.350000000000001
National Research Nuclear University MEPhI,35.43125
National Research Saratov State University,16.87142857142857
National Research University of Electronic Technology (MIET),15.924999999999999
National Sun Yat-Sen University,27.022222222222222
National Taipei University,17.633333333333333
National Taipei University of Technology,19.86875
National Taiwan Normal University,28.04375
National Taiwan Ocean University,17.693749999999998
National Taiwan University (NTU),53.9076923076923
National Taiwan University of Science and Technology (Taiwan Tech),32.30625
National Technical University Kharkiv Polytechnic Institute,17.9625
National Technical University of Athens,25.28
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,16.240000000000002
National Tsing Hua University,39.74444444444444
National United University,15.4
