ticker,spindex,num_committees,dirs,over75_pct,num_meetings,avg_meetings
RGLD,S&P 400,4.0,15.0,1.0,7.0,1.75
RUTH,S&P 600,4.0,12.0,1.0,8.0,2.0
SHAK,S&P 600,3.0,14.0,1.0,12.0,4.0
R,S&P 400,9.0,40.0,1.0,11.0,1.2222222222222223
STBA,S&P 600,8.0,33.0,1.0,11.0,1.375
SPGI,S&P 500,7.0,31.0,1.0,13.0,1.8571428571428572
SBAC,S&P 500,5.0,13.0,1.0,9.0,1.8
SEIC,S&P 400,6.0,12.0,1.0,7.0,1.1666666666666667
SJW,S&P 600,7.0,22.0,1.0,8.0,1.1428571428571428
SLG,S&P 600,5.0,11.0,1.0,9.0,1.8
SLM,S&P 400,14.0,33.0,1.0,12.0,0.8571428571428571
SM,S&P 600,5.0,23.0,1.0,8.0,1.6
SPSC,S&P 600,5.0,16.0,1.0,7.0,1.4
SPXC,S&P 600,9.0,24.0,1.0,9.0,1.0
